Cliente -> | id Cliente:87 | n. bought products:66 | time in the supermarket: 16.017 s | time in queue: 4.016 s | n. queues checked: 1 | 
Cliente -> | id Cliente:74 | n. bought products:99 | time in the supermarket: 20.022 s | time in queue: 4.020 s | n. queues checked: 1 | 
Cliente -> | id Cliente:69 | n. bought products:95 | time in the supermarket: 23.022 s | time in queue: 4.021 s | n. queues checked: 1 | 
CASHIER -> | ID:1 | n. bought products:2051 | n. customers:37 | time opened: 26.028 s | avg service time: 1.165 s | number of clousure:1 |
CASHIER -> | ID:2 | n. bought products:1901 | n. customers:37 | time opened: 26.028 s | avg service time: 1.082 s | number of clousure:1 |
CASHIER -> | ID:3 | n. bought products:1042 | n. customers:20 | time opened: 23.030 s | avg service time: 1.126 s | number of clousure:2 |
CASHIER -> | ID:4 | n. bought products:0 | n. customers:0 | time opened: 0.000 s | avg service time: 0.000 s | number of clousure:0 |
CASHIER -> | ID:5 | n. bought products:0 | n. customers:0 | time opened: 0.000 s | avg service time: 0.000 s | number of clousure:0 |
CASHIER -> | ID:6 | n. bought products:0 | n. customers:0 | time opened: 0.000 s | avg service time: 0.000 s | number of clousure:0 |
TOTAL CUSTOMERS SERVED: 94
TOTAL PRODUCTS BOUGHT: 4994
